"link","argentino","otro_pais"
60351202,820,30
60351203,384,23
60351204,357,7
60351205,781,55
60351206,496,19
60351207,348,14
60351208,1036,83
60351209,242,11
60351210,763,26
60351211,784,41
60351212,528,30
60351301,893,86
60351302,838,64
60351303,680,66
60351304,738,52
60351305,669,52
60351306,588,45
60351307,604,34
60351308,652,31
60351309,451,24
60351310,614,13
60351401,691,31
60351402,532,22
60351403,880,57
60351404,806,46
60351405,592,43
60351406,518,28
60351407,500,28
60351408,821,70
60351409,642,23
60351410,803,27
60351411,494,65
60351412,578,61
60351413,563,51
60351501,741,38
60351502,780,32
60351503,814,47
60351504,729,42
60351505,975,43
60351506,1356,104
60351507,907,85
60351508,808,63
60351509,694,56
60351510,645,33
60351511,718,52
60351512,592,48
60351601,448,26
60351602,876,52
60351603,822,49
60351604,369,22
60351605,759,44
60351606,786,34
60351607,546,35
60351608,974,46
60351609,836,71
60351610,923,41
60351611,682,39
60351701,786,27
60351702,730,65
60351703,817,49
60351704,802,64
60351705,966,82
60351706,682,66
60351707,841,41
60351708,728,50
60351709,691,51
60351710,1009,61
60351711,611,54
60351801,796,47
60351802,857,58
60351803,694,59
60351804,690,59
60351805,711,50
60351806,845,43
60351807,631,34
60351808,618,36
60351809,776,64
60351810,651,38
60351811,851,56
60351901,804,40
60351902,924,48
60351903,797,55
60351904,699,35
60351905,869,46
60351906,870,55
60351907,772,49
60351908,751,81
60351909,797,74
60351910,1076,93
60351911,1016,55
60352001,948,44
60352002,946,45
60352003,1038,51
60352004,679,32
60352005,837,31
60352006,828,68
60352007,914,77
60352008,912,70
60352009,778,94
60352010,865,77
60352011,769,70
60352101,1051,84
60352102,986,57
60352103,566,19
60352104,485,35
60352105,368,13
60352106,452,17
60352107,589,32
60352108,539,19
60352109,667,24
60352110,740,41
60352201,1318,132
60352202,615,35
60352203,436,26
60352204,430,19
60352205,505,28
60352206,669,42
60352207,622,24
60352208,448,28
60352209,578,31
60352210,703,39
60352211,447,30
60352212,118,9
60352301,443,30
60352302,442,27
60352303,570,51
60352304,350,10
60352305,954,65
60352306,939,109
60352307,1086,80
60352308,784,56
60352309,724,76
60352310,837,81
60352311,919,74
60352312,1210,142
60352401,839,110
60352402,865,75
60352403,1166,109
60352404,921,88
60352405,671,72
60352406,804,105
60352407,825,95
60352408,1025,88
60352409,1072,71
60352410,959,108
60352411,1250,148
60352501,618,43
60352502,813,68
60352503,1349,93
60352504,755,58
60352505,964,86
60352506,913,99
60352507,798,58
60352508,881,79
60352509,867,83
60352510,1718,127
60352511,1162,41
60352601,1323,64
60352602,1443,87
60352603,723,50
60352604,269,24
60352605,1898,115
60352606,777,43
60352607,966,51
60352608,781,75
60352609,1143,49
60352610,1818,78
60352611,1494,90
60352612,715,70
60352613,771,17
60352614,907,32
60352615,933,78
60352701,272,20
60352702,786,60
60352703,805,80
60352704,2195,139
60352705,732,47
60352706,1612,110
60352707,1459,98
60352708,364,43
60352709,910,63
60352710,929,48
60352711,1271,528
60352712,1359,69
60352713,717,61
60352714,1036,205
60352801,992,80
60352802,995,87
60352803,856,59
60352804,720,42
60352805,842,53
60352806,892,53
60352807,731,46
60352808,871,109
60352901,615,33
60352902,838,79
60352903,935,74
60352904,774,51
60352905,686,40
60352906,786,49
60352907,709,45
60352908,708,44
60352909,585,23
60353001,984,58
60353002,1026,61
60353003,865,43
60353004,1087,84
60353005,738,60
60353006,878,50
60353007,935,77
60353008,979,58
60353009,815,46
60353010,776,53
60353101,397,26
60353102,418,42
60353103,695,40
60353104,908,47
60353105,1109,48
60353106,525,29
60353107,436,10
60353108,673,49
60353109,546,37
60353201,949,77
60353202,667,83
60353203,818,113
60353204,790,50
60353205,649,28
60353206,857,61
60353207,945,55
60353208,734,48
60353301,895,70
60353302,791,53
60353303,1051,86
60353304,770,43
60353305,446,46
60353306,755,51
60353307,748,67
60353308,707,38
60353401,721,79
60353402,702,73
60353403,540,63
60353404,669,76
60353405,758,42
60353406,916,91
60353407,534,65
60353408,713,102
60353409,627,65
60353501,962,95
60353502,808,64
60353503,744,54
60353504,741,59
60353505,1461,90
60353506,733,53
60353507,656,54
60353508,665,67
60910101,1266,340
60910102,1444,291
60910103,587,38
60910104,621,42
60910105,691,36
60910106,674,30
60910107,1187,38
60910108,890,44
60910109,1291,45
60910110,967,11
60910201,1162,54
60910202,918,41
60910203,560,18
60910204,743,59
60910205,697,32
60910206,549,44
60910207,624,27
60910208,997,43
60910209,1307,80
60910301,964,54
60910302,1415,33
60910303,614,20
60910304,978,87
60910305,709,41
60910306,1307,69
60910307,1263,75
60910308,753,39
60910309,1064,78
60910310,1002,60
60910311,743,34
60910312,412,19
60910313,450,31
60910401,1645,27
60910402,1297,98
60910403,1550,92
60910404,1723,114
60910405,1437,70
60910406,1579,97
60910407,1444,132
60910408,668,41
60910409,1970,80
60910410,1928,130
60910411,1458,117
60910412,1328,45
60910501,1899,146
60910502,1168,50
60910503,1630,82
60910504,803,26
60910505,1118,50
60910506,782,24
60910507,1009,27
60910508,801,60
60910509,561,26
60910510,70,18
60910601,1190,41
60910602,896,54
60910603,783,28
60910604,789,26
60910605,699,30
60910606,1130,41
60910607,1422,48
60910608,1786,87
60910609,1474,118
60910610,1411,89
60910611,1206,20
60910701,1182,74
60910702,1020,49
60910703,734,42
60910704,974,75
60910705,897,30
60910706,982,37
60910707,1518,68
60910708,1376,77
60910709,1215,48
60910710,1345,39
60910801,725,56
60910802,577,26
60910803,732,145
60910804,951,165
60910805,763,53
60910806,916,88
60910807,1397,94
60910808,1542,80
60910809,1319,63
60910810,1094,68
60910901,607,47
60910902,1169,60
60910903,1275,64
60910904,1245,91
60910905,561,27
60910906,992,77
60910907,1250,75
60910908,629,35
60911001,940,77
60911002,566,47
60911003,1378,64
60911004,684,32
60911005,1241,101
60911006,1472,60
60911007,1025,54
60911008,887,52
60911009,859,27
60911010,1680,87
60911011,1427,64
60911101,1250,72
60911102,1296,58
60911103,577,23
60911104,552,38
60911105,909,55
60911106,903,62
60911107,1078,105
60911108,1279,88
60911109,1299,63
60911201,1045,252
60911202,1378,161
60911203,1077,158
60911204,1124,94
60911205,1062,74
60911206,1543,160
60911207,908,75
60911208,1604,142
60911301,1076,305
60911302,916,309
60911303,972,209
60911304,1203,247
60911305,1476,147
60911306,1185,101
60911307,991,65
60911308,1180,52
60911309,1488,82
60911310,1389,46
60911311,906,47
60911312,864,82
60911401,1688,325
60911402,1393,127
60911403,992,55
60911404,1124,79
60911405,1338,199
60911406,1299,121
60911407,1380,80
60911408,1263,55
60911409,871,59
60911410,1788,79
60911411,1516,71
60911412,989,46
60911413,1056,30
60911501,810,54
60911502,862,56
60911503,915,48
60911504,1263,76
60911505,954,37
60911506,1023,41
60911507,789,45
60911508,1142,40
60911509,671,41
60911510,950,74
60911511,1455,58
60911512,859,52
60911513,780,33
60911601,1251,49
60911602,1434,47
60911603,959,40
60911604,1382,79
60911605,1499,45
60911606,932,52
60911607,545,11
60911608,829,43
60911609,842,38
60911610,982,37
60911611,1789,71
60911612,800,39
60911613,1488,53
60911614,1212,71
60911701,950,46
60911702,1475,34
60911703,1596,72
60911704,904,21
60911705,1359,98
60911706,1257,53
60911707,1474,76
60911708,948,80
60911709,1365,32
60911710,1251,60
60911711,1268,39
60911712,1207,41
60911713,923,50
60911714,1768,79
60911801,886,44
60911802,790,32
60911803,1896,56
60911804,1318,70
60911805,1292,57
60911806,1485,78
60911807,1415,59
60911808,1050,69
60911809,749,41
60911810,756,21
60911811,1579,91
60911812,1398,67
60911901,674,37
60911902,1496,58
60911903,1212,32
60911904,1548,57
60911905,646,32
60911906,581,27
60911907,673,27
60911908,1180,61
60911909,657,21
60911910,1001,33
60911911,924,47
60911912,1297,57
60912001,1149,54
60912002,1350,52
60912003,542,12
60912004,730,16
60912005,1541,102
60912006,778,14
60912007,1073,38
60912008,612,27
60912009,768,45
60912010,1109,70
60912011,1157,42
60912012,816,24
60912013,822,51
60912101,1043,20
60912102,870,26
60912103,986,21
60912104,744,35
60912105,682,28
60912106,969,33
60912107,1333,52
60912108,781,59
60912109,757,24
60912110,870,31
60912111,1295,98
60912112,1510,111
60912113,1167,56
60912114,1104,73
60912115,960,31
60912116,1290,48
60912117,1579,72
60912201,1256,33
60912202,994,39
60912203,1214,41
60912204,1146,61
60912205,960,67
60912206,1587,34
60912207,1116,33
60912208,875,32
60912209,750,23
60912210,1707,121
